ED_num,reported,candidate,party,votes
ED   35,99.00%,Kamala D. Harris Tim Walz,(Democratic),514
ED   35,99.00%,Donald J. Trump JD Vance,(Republican),228
ED   35,99.00%,Donald J. Trump JD Vance,(Conservative),14
ED   35,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   35,99.00%,WRITE-IN,&nbsp,17
ED   36,99.00%,Kamala D. Harris Tim Walz,(Democratic),503
ED   36,99.00%,Donald J. Trump JD Vance,(Republican),294
ED   36,99.00%,Donald J. Trump JD Vance,(Conservative),20
ED   36,99.00%,Kamala D. Harris Tim Walz,(Working Families),20
ED   36,99.00%,WRITE-IN,&nbsp,10
ED   37,99.00%,Kamala D. Harris Tim Walz,(Democratic),511
ED   37,99.00%,Donald J. Trump JD Vance,(Republican),256
ED   37,99.00%,Donald J. Trump JD Vance,(Conservative),30
ED   37,99.00%,Kamala D. Harris Tim Walz,(Working Families),24
ED   37,99.00%,WRITE-IN,&nbsp,11
ED   38,99.00%,Kamala D. Harris Tim Walz,(Democratic),507
ED   38,99.00%,Donald J. Trump JD Vance,(Republican),363
ED   38,99.00%,Donald J. Trump JD Vance,(Conservative),28
ED   38,99.00%,Kamala D. Harris Tim Walz,(Working Families),36
ED   38,99.00%,WRITE-IN,&nbsp,33
ED   39,99.00%,Kamala D. Harris Tim Walz,(Democratic),456
ED   39,99.00%,Donald J. Trump JD Vance,(Republican),356
ED   39,99.00%,Donald J. Trump JD Vance,(Conservative),27
ED   39,99.00%,Kamala D. Harris Tim Walz,(Working Families),21
ED   39,99.00%,WRITE-IN,&nbsp,19
ED   40,99.00%,Kamala D. Harris Tim Walz,(Democratic),342
ED   40,99.00%,Donald J. Trump JD Vance,(Republican),734
ED   40,99.00%,Donald J. Trump JD Vance,(Conservative),71
ED   40,99.00%,Kamala D. Harris Tim Walz,(Working Families),14
ED   40,99.00%,WRITE-IN,&nbsp,19
ED   41,99.00%,Kamala D. Harris Tim Walz,(Democratic),338
ED   41,99.00%,Donald J. Trump JD Vance,(Republican),710
ED   41,99.00%,Donald J. Trump JD Vance,(Conservative),51
ED   41,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   41,99.00%,WRITE-IN,&nbsp,16
ED   42,99.00%,Kamala D. Harris Tim Walz,(Democratic),350
ED   42,99.00%,Donald J. Trump JD Vance,(Republican),873
ED   42,99.00%,Donald J. Trump JD Vance,(Conservative),55
ED   42,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   42,99.00%,WRITE-IN,&nbsp,17
ED   43,99.00%,Kamala D. Harris Tim Walz,(Democratic),324
ED   43,99.00%,Donald J. Trump JD Vance,(Republican),707
ED   43,99.00%,Donald J. Trump JD Vance,(Conservative),39
ED   43,99.00%,Kamala D. Harris Tim Walz,(Working Families),19
ED   43,99.00%,WRITE-IN,&nbsp,14
ED   44,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   44,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   44,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   44,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   44,99.00%,WRITE-IN,&nbsp,0
ED   45,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   45,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   45,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   45,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   45,99.00%,WRITE-IN,&nbsp,0
ED   46,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   46,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   46,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   46,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   46,99.00%,WRITE-IN,&nbsp,0
ED   47,99.00%,Kamala D. Harris Tim Walz,(Democratic),76
ED   47,99.00%,Donald J. Trump JD Vance,(Republican),45
ED   47,99.00%,Donald J. Trump JD Vance,(Conservative),5
ED   47,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   47,99.00%,WRITE-IN,&nbsp,1
ED   48,99.00%,Kamala D. Harris Tim Walz,(Democratic),170
ED   48,99.00%,Donald J. Trump JD Vance,(Republican),126
ED   48,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   48,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED   48,99.00%,WRITE-IN,&nbsp,7
ED   49,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   49,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   49,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   49,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   49,99.00%,WRITE-IN,&nbsp,0
ED   50,99.00%,Kamala D. Harris Tim Walz,(Democratic),185
ED   50,99.00%,Donald J. Trump JD Vance,(Republican),238
ED   50,99.00%,Donald J. Trump JD Vance,(Conservative),38
ED   50,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   50,99.00%,WRITE-IN,&nbsp,10
ED   51,99.00%,Kamala D. Harris Tim Walz,(Democratic),187
ED   51,99.00%,Donald J. Trump JD Vance,(Republican),226
ED   51,99.00%,Donald J. Trump JD Vance,(Conservative),29
ED   51,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   51,99.00%,WRITE-IN,&nbsp,10
ED   60,99.00%,Kamala D. Harris Tim Walz,(Democratic),553
ED   60,99.00%,Donald J. Trump JD Vance,(Republican),144
ED   60,99.00%,Donald J. Trump JD Vance,(Conservative),9
ED   60,99.00%,Kamala D. Harris Tim Walz,(Working Families),18
ED   60,99.00%,WRITE-IN,&nbsp,23
ED   61,99.00%,Kamala D. Harris Tim Walz,(Democratic),697
ED   61,99.00%,Donald J. Trump JD Vance,(Republican),225
ED   61,99.00%,Donald J. Trump JD Vance,(Conservative),21
ED   61,99.00%,Kamala D. Harris Tim Walz,(Working Families),50
ED   61,99.00%,WRITE-IN,&nbsp,21
ED   62,99.00%,Kamala D. Harris Tim Walz,(Democratic),621
ED   62,99.00%,Donald J. Trump JD Vance,(Republican),205
ED   62,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   62,99.00%,Kamala D. Harris Tim Walz,(Working Families),36
ED   62,99.00%,WRITE-IN,&nbsp,24
ED   63,99.00%,Kamala D. Harris Tim Walz,(Democratic),819
ED   63,99.00%,Donald J. Trump JD Vance,(Republican),261
ED   63,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED   63,99.00%,Kamala D. Harris Tim Walz,(Working Families),25
ED   63,99.00%,WRITE-IN,&nbsp,24
ED   64,99.00%,Kamala D. Harris Tim Walz,(Democratic),484
ED   64,99.00%,Donald J. Trump JD Vance,(Republican),124
ED   64,99.00%,Donald J. Trump JD Vance,(Conservative),17
ED   64,99.00%,Kamala D. Harris Tim Walz,(Working Families),23
ED   64,99.00%,WRITE-IN,&nbsp,19
ED   65,99.00%,Kamala D. Harris Tim Walz,(Democratic),761
ED   65,99.00%,Donald J. Trump JD Vance,(Republican),220
ED   65,99.00%,Donald J. Trump JD Vance,(Conservative),8
ED   65,99.00%,Kamala D. Harris Tim Walz,(Working Families),26
ED   65,99.00%,WRITE-IN,&nbsp,23
ED   66,99.00%,Kamala D. Harris Tim Walz,(Democratic),635
ED   66,99.00%,Donald J. Trump JD Vance,(Republican),202
ED   66,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   66,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   66,99.00%,WRITE-IN,&nbsp,26
ED   67,99.00%,Kamala D. Harris Tim Walz,(Democratic),602
ED   67,99.00%,Donald J. Trump JD Vance,(Republican),161
ED   67,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   67,99.00%,Kamala D. Harris Tim Walz,(Working Families),35
ED   67,99.00%,WRITE-IN,&nbsp,15
ED   68,99.00%,Kamala D. Harris Tim Walz,(Democratic),792
ED   68,99.00%,Donald J. Trump JD Vance,(Republican),234
ED   68,99.00%,Donald J. Trump JD Vance,(Conservative),21
ED   68,99.00%,Kamala D. Harris Tim Walz,(Working Families),42
ED   68,99.00%,WRITE-IN,&nbsp,21
ED   69,99.00%,Kamala D. Harris Tim Walz,(Democratic),1
ED   69,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   69,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   69,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   69,99.00%,WRITE-IN,&nbsp,0
ED   70,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   70,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   70,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   70,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   70,99.00%,WRITE-IN,&nbsp,0
ED   71,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   71,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   71,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   71,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   71,99.00%,WRITE-IN,&nbsp,0
ED   72,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   72,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   72,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   72,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   72,99.00%,WRITE-IN,&nbsp,0
ED   73,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   73,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   73,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   73,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   73,99.00%,WRITE-IN,&nbsp,0
ED   74,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   74,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   74,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   74,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   74,99.00%,WRITE-IN,&nbsp,0
ED  100,99.00%,Kamala D. Harris Tim Walz,(Democratic),1
ED  100,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  100,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  100,99.00%,Kamala D. Harris Tim Walz,(Working Families),1
ED  100,99.00%,WRITE-IN,&nbsp,0
ED  101,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  101,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  101,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  101,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  101,99.00%,WRITE-IN,&nbsp,0
ED  102,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  102,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  102,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  102,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  102,99.00%,WRITE-IN,&nbsp,0
ED  103,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  103,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  103,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  103,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  103,99.00%,WRITE-IN,&nbsp,0
ED  104,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  104,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  104,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  104,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  104,99.00%,WRITE-IN,&nbsp,0
ED  105,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  105,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  105,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  105,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  105,99.00%,WRITE-IN,&nbsp,0
ED  106,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  106,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  106,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  106,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  106,99.00%,WRITE-IN,&nbsp,0
ED  107,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  107,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  107,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  107,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  107,99.00%,WRITE-IN,&nbsp,0
ED  108,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  108,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  108,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  108,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  108,99.00%,WRITE-IN,&nbsp,0
ED  109,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  109,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  109,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  109,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  109,99.00%,WRITE-IN,&nbsp,0
ED  110,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  110,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  110,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  110,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  110,99.00%,WRITE-IN,&nbsp,0
ED  111,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  111,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  111,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  111,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  111,99.00%,WRITE-IN,&nbsp,0
ED  112,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  112,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  112,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  112,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  112,99.00%,WRITE-IN,&nbsp,0
ED  113,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  113,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  113,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  113,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  113,99.00%,WRITE-IN,&nbsp,0
ED  114,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED  114,99.00%,Donald J. Trump JD Vance,(Republican),0
ED  114,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED  114,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED  114,99.00%,WRITE-IN,&nbsp,0
Total,,Kamala D. Harris Tim Walz,(Democratic),25276
Total,,Donald J. Trump JD Vance,(Republican),13859
Total,,Donald J. Trump JD Vance,(Conservative),1205
Total,,Kamala D. Harris Tim Walz,(Working Families),1254
Total,,WRITE-IN,&nbsp,770
ED    1,99.00%,Kamala D. Harris Tim Walz,(Democratic),153
ED    1,99.00%,Donald J. Trump JD Vance,(Republican),961
ED    1,99.00%,Donald J. Trump JD Vance,(Conservative),63
ED    1,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED    1,99.00%,WRITE-IN,&nbsp,6
ED    2,99.00%,Kamala D. Harris Tim Walz,(Democratic),186
ED    2,99.00%,Donald J. Trump JD Vance,(Republican),961
ED    2,99.00%,Donald J. Trump JD Vance,(Conservative),62
ED    2,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED    2,99.00%,WRITE-IN,&nbsp,11
ED    3,99.00%,Kamala D. Harris Tim Walz,(Democratic),225
ED    3,99.00%,Donald J. Trump JD Vance,(Republican),803
ED    3,99.00%,Donald J. Trump JD Vance,(Conservative),64
ED    3,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED    3,99.00%,WRITE-IN,&nbsp,14
ED    4,99.00%,Kamala D. Harris Tim Walz,(Democratic),147
ED    4,99.00%,Donald J. Trump JD Vance,(Republican),911
ED    4,99.00%,Donald J. Trump JD Vance,(Conservative),52
ED    4,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED    4,99.00%,WRITE-IN,&nbsp,7
ED    5,99.00%,Kamala D. Harris Tim Walz,(Democratic),153
ED    5,99.00%,Donald J. Trump JD Vance,(Republican),870
ED    5,99.00%,Donald J. Trump JD Vance,(Conservative),59
ED    5,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED    5,99.00%,WRITE-IN,&nbsp,8
ED    6,99.00%,Kamala D. Harris Tim Walz,(Democratic),186
ED    6,99.00%,Donald J. Trump JD Vance,(Republican),821
ED    6,99.00%,Donald J. Trump JD Vance,(Conservative),44
ED    6,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED    6,99.00%,WRITE-IN,&nbsp,8
ED    7,99.00%,Kamala D. Harris Tim Walz,(Democratic),156
ED    7,99.00%,Donald J. Trump JD Vance,(Republican),964
ED    7,99.00%,Donald J. Trump JD Vance,(Conservative),44
ED    7,99.00%,Kamala D. Harris Tim Walz,(Working Families),11
ED    7,99.00%,WRITE-IN,&nbsp,12
ED    8,99.00%,Kamala D. Harris Tim Walz,(Democratic),148
ED    8,99.00%,Donald J. Trump JD Vance,(Republican),828
ED    8,99.00%,Donald J. Trump JD Vance,(Conservative),61
ED    8,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED    8,99.00%,WRITE-IN,&nbsp,13
ED    9,99.00%,Kamala D. Harris Tim Walz,(Democratic),201
ED    9,99.00%,Donald J. Trump JD Vance,(Republican),908
ED    9,99.00%,Donald J. Trump JD Vance,(Conservative),67
ED    9,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED    9,99.00%,WRITE-IN,&nbsp,13
ED   10,99.00%,Kamala D. Harris Tim Walz,(Democratic),220
ED   10,99.00%,Donald J. Trump JD Vance,(Republican),861
ED   10,99.00%,Donald J. Trump JD Vance,(Conservative),51
ED   10,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   10,99.00%,WRITE-IN,&nbsp,13
ED   11,99.00%,Kamala D. Harris Tim Walz,(Democratic),170
ED   11,99.00%,Donald J. Trump JD Vance,(Republican),798
ED   11,99.00%,Donald J. Trump JD Vance,(Conservative),52
ED   11,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   11,99.00%,WRITE-IN,&nbsp,6
ED   12,99.00%,Kamala D. Harris Tim Walz,(Democratic),196
ED   12,99.00%,Donald J. Trump JD Vance,(Republican),792
ED   12,99.00%,Donald J. Trump JD Vance,(Conservative),56
ED   12,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   12,99.00%,WRITE-IN,&nbsp,8
ED   13,99.00%,Kamala D. Harris Tim Walz,(Democratic),212
ED   13,99.00%,Donald J. Trump JD Vance,(Republican),854
ED   13,99.00%,Donald J. Trump JD Vance,(Conservative),71
ED   13,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   13,99.00%,WRITE-IN,&nbsp,17
ED   14,99.00%,Kamala D. Harris Tim Walz,(Democratic),209
ED   14,99.00%,Donald J. Trump JD Vance,(Republican),850
ED   14,99.00%,Donald J. Trump JD Vance,(Conservative),58
ED   14,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   14,99.00%,WRITE-IN,&nbsp,12
ED   15,99.00%,Kamala D. Harris Tim Walz,(Democratic),198
ED   15,99.00%,Donald J. Trump JD Vance,(Republican),889
ED   15,99.00%,Donald J. Trump JD Vance,(Conservative),62
ED   15,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   15,99.00%,WRITE-IN,&nbsp,5
ED   16,99.00%,Kamala D. Harris Tim Walz,(Democratic),208
ED   16,99.00%,Donald J. Trump JD Vance,(Republican),899
ED   16,99.00%,Donald J. Trump JD Vance,(Conservative),66
ED   16,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   16,99.00%,WRITE-IN,&nbsp,16
ED   17,99.00%,Kamala D. Harris Tim Walz,(Democratic),212
ED   17,99.00%,Donald J. Trump JD Vance,(Republican),790
ED   17,99.00%,Donald J. Trump JD Vance,(Conservative),69
ED   17,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   17,99.00%,WRITE-IN,&nbsp,6
ED   18,99.00%,Kamala D. Harris Tim Walz,(Democratic),213
ED   18,99.00%,Donald J. Trump JD Vance,(Republican),879
ED   18,99.00%,Donald J. Trump JD Vance,(Conservative),62
ED   18,99.00%,Kamala D. Harris Tim Walz,(Working Families),3
ED   18,99.00%,WRITE-IN,&nbsp,13
ED   19,99.00%,Kamala D. Harris Tim Walz,(Democratic),218
ED   19,99.00%,Donald J. Trump JD Vance,(Republican),932
ED   19,99.00%,Donald J. Trump JD Vance,(Conservative),42
ED   19,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   19,99.00%,WRITE-IN,&nbsp,10
ED   20,99.00%,Kamala D. Harris Tim Walz,(Democratic),237
ED   20,99.00%,Donald J. Trump JD Vance,(Republican),823
ED   20,99.00%,Donald J. Trump JD Vance,(Conservative),46
ED   20,99.00%,Kamala D. Harris Tim Walz,(Working Families),14
ED   20,99.00%,WRITE-IN,&nbsp,13
ED   21,99.00%,Kamala D. Harris Tim Walz,(Democratic),222
ED   21,99.00%,Donald J. Trump JD Vance,(Republican),847
ED   21,99.00%,Donald J. Trump JD Vance,(Conservative),67
ED   21,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   21,99.00%,WRITE-IN,&nbsp,11
ED   22,99.00%,Kamala D. Harris Tim Walz,(Democratic),214
ED   22,99.00%,Donald J. Trump JD Vance,(Republican),816
ED   22,99.00%,Donald J. Trump JD Vance,(Conservative),37
ED   22,99.00%,Kamala D. Harris Tim Walz,(Working Families),11
ED   22,99.00%,WRITE-IN,&nbsp,9
ED   23,99.00%,Kamala D. Harris Tim Walz,(Democratic),203
ED   23,99.00%,Donald J. Trump JD Vance,(Republican),861
ED   23,99.00%,Donald J. Trump JD Vance,(Conservative),27
ED   23,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   23,99.00%,WRITE-IN,&nbsp,5
ED   24,88.89%,Kamala D. Harris Tim Walz,(Democratic),223
ED   24,88.89%,Donald J. Trump JD Vance,(Republican),800
ED   24,88.89%,Donald J. Trump JD Vance,(Conservative),37
ED   24,88.89%,Kamala D. Harris Tim Walz,(Working Families),8
ED   24,88.89%,WRITE-IN,&nbsp,10
ED   25,99.00%,Kamala D. Harris Tim Walz,(Democratic),211
ED   25,99.00%,Donald J. Trump JD Vance,(Republican),728
ED   25,99.00%,Donald J. Trump JD Vance,(Conservative),45
ED   25,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   25,99.00%,WRITE-IN,&nbsp,23
ED   26,99.00%,Kamala D. Harris Tim Walz,(Democratic),263
ED   26,99.00%,Donald J. Trump JD Vance,(Republican),784
ED   26,99.00%,Donald J. Trump JD Vance,(Conservative),51
ED   26,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   26,99.00%,WRITE-IN,&nbsp,7
ED   27,99.00%,Kamala D. Harris Tim Walz,(Democratic),260
ED   27,99.00%,Donald J. Trump JD Vance,(Republican),783
ED   27,99.00%,Donald J. Trump JD Vance,(Conservative),47
ED   27,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   27,99.00%,WRITE-IN,&nbsp,12
ED   28,99.00%,Kamala D. Harris Tim Walz,(Democratic),227
ED   28,99.00%,Donald J. Trump JD Vance,(Republican),754
ED   28,99.00%,Donald J. Trump JD Vance,(Conservative),46
ED   28,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   28,99.00%,WRITE-IN,&nbsp,15
ED   29,99.00%,Kamala D. Harris Tim Walz,(Democratic),241
ED   29,99.00%,Donald J. Trump JD Vance,(Republican),776
ED   29,99.00%,Donald J. Trump JD Vance,(Conservative),43
ED   29,99.00%,Kamala D. Harris Tim Walz,(Working Families),14
ED   29,99.00%,WRITE-IN,&nbsp,13
ED   30,99.00%,Kamala D. Harris Tim Walz,(Democratic),234
ED   30,99.00%,Donald J. Trump JD Vance,(Republican),655
ED   30,99.00%,Donald J. Trump JD Vance,(Conservative),47
ED   30,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   30,99.00%,WRITE-IN,&nbsp,9
ED   31,99.00%,Kamala D. Harris Tim Walz,(Democratic),266
ED   31,99.00%,Donald J. Trump JD Vance,(Republican),865
ED   31,99.00%,Donald J. Trump JD Vance,(Conservative),49
ED   31,99.00%,Kamala D. Harris Tim Walz,(Working Families),14
ED   31,99.00%,WRITE-IN,&nbsp,9
ED   32,99.00%,Kamala D. Harris Tim Walz,(Democratic),244
ED   32,99.00%,Donald J. Trump JD Vance,(Republican),744
ED   32,99.00%,Donald J. Trump JD Vance,(Conservative),53
ED   32,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   32,99.00%,WRITE-IN,&nbsp,9
ED   33,99.00%,Kamala D. Harris Tim Walz,(Democratic),225
ED   33,99.00%,Donald J. Trump JD Vance,(Republican),747
ED   33,99.00%,Donald J. Trump JD Vance,(Conservative),50
ED   33,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   33,99.00%,WRITE-IN,&nbsp,12
ED   34,99.00%,Kamala D. Harris Tim Walz,(Democratic),223
ED   34,99.00%,Donald J. Trump JD Vance,(Republican),728
ED   34,99.00%,Donald J. Trump JD Vance,(Conservative),41
ED   34,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED   34,99.00%,WRITE-IN,&nbsp,10
ED   35,99.00%,Kamala D. Harris Tim Walz,(Democratic),75
ED   35,99.00%,Donald J. Trump JD Vance,(Republican),272
ED   35,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   35,99.00%,Kamala D. Harris Tim Walz,(Working Families),3
ED   35,99.00%,WRITE-IN,&nbsp,0
ED   36,99.00%,Kamala D. Harris Tim Walz,(Democratic),190
ED   36,99.00%,Donald J. Trump JD Vance,(Republican),988
ED   36,99.00%,Donald J. Trump JD Vance,(Conservative),40
ED   36,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   36,99.00%,WRITE-IN,&nbsp,6
ED   37,99.00%,Kamala D. Harris Tim Walz,(Democratic),214
ED   37,99.00%,Donald J. Trump JD Vance,(Republican),873
ED   37,99.00%,Donald J. Trump JD Vance,(Conservative),37
ED   37,99.00%,Kamala D. Harris Tim Walz,(Working Families),2
ED   37,99.00%,WRITE-IN,&nbsp,8
ED   38,99.00%,Kamala D. Harris Tim Walz,(Democratic),196
ED   38,99.00%,Donald J. Trump JD Vance,(Republican),854
ED   38,99.00%,Donald J. Trump JD Vance,(Conservative),62
ED   38,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED   38,99.00%,WRITE-IN,&nbsp,7
ED   39,99.00%,Kamala D. Harris Tim Walz,(Democratic),200
ED   39,99.00%,Donald J. Trump JD Vance,(Republican),941
ED   39,99.00%,Donald J. Trump JD Vance,(Conservative),61
ED   39,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   39,99.00%,WRITE-IN,&nbsp,6
ED   40,99.00%,Kamala D. Harris Tim Walz,(Democratic),179
ED   40,99.00%,Donald J. Trump JD Vance,(Republican),893
ED   40,99.00%,Donald J. Trump JD Vance,(Conservative),47
ED   40,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED   40,99.00%,WRITE-IN,&nbsp,6
ED   41,99.00%,Kamala D. Harris Tim Walz,(Democratic),185
ED   41,99.00%,Donald J. Trump JD Vance,(Republican),860
ED   41,99.00%,Donald J. Trump JD Vance,(Conservative),48
ED   41,99.00%,Kamala D. Harris Tim Walz,(Working Families),11
ED   41,99.00%,WRITE-IN,&nbsp,12
ED   42,99.00%,Kamala D. Harris Tim Walz,(Democratic),191
